Bits | Signed Min     | Signed Max    | Unsigned Max  
-----|----------------|---------------|---------------
1    | -1             | 0             | 1             
2    | -2             | 1             | 3             
3    | -4             | 3             | 7             
4    | -8             | 7             | 15            
5    | -16            | 15            | 31            
6    | -32            | 31            | 63            
7    | -64            | 63            | 127           
8    | -128           | 127           | 255           
9    | -256           | 255           | 511           
10   | -512           | 511           | 1,023         
11   | -1,024         | 1,023         | 2,047         
12   | -2,048         | 2,047         | 4,095         
13   | -4,096         | 4,095         | 8,191         
14   | -8,192         | 8,191         | 16,383        
15   | -16,384        | 16,383        | 32,767        
16   | -32,768        | 32,767        | 65,535        
17   | -65,536        | 65,535        | 131,071       
18   | -131,072       | 131,071       | 262,143       
19   | -262,144       | 262,143       | 524,287       
20   | -524,288       | 524,287       | 1,048,575     
21   | -1,048,576     | 1,048,575     | 2,097,151     
22   | -2,097,152     | 2,097,151     | 4,194,303     
23   | -4,194,304     | 4,194,303     | 8,388,607     
24   | -8,388,608     | 8,388,607     | 16,777,215    
25   | -16,777,216    | 16,777,215    | 33,554,431    
26   | -33,554,432    | 33,554,431    | 67,108,863    
27   | -67,108,864    | 67,108,863    | 134,217,727   
28   | -134,217,728   | 134,217,727   | 268,435,455   
29   | -268,435,456   | 268,435,455   | 536,870,911   
30   | -536,870,912   | 536,870,911   | 1,073,741,823 
31   | -1,073,741,824 | 1,073,741,823 | 2,147,483,647 
32   | -2,147,483,648 | 2,147,483,647 | 4,294,967,295 
